,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
384,mahina,-17.51,-149.49,82.4,74,40,8.05,PF,1609200875
385,oro valley,32.39,-110.97,66.99,34,43,5.99,US,1609200875
386,anshun,26.25,105.93,39.83,77,100,16.26,CN,1609200876
387,salalah,17.02,54.09,71.6,49,0,9.17,OM,1609200876
388,cairns,-16.92,145.77,87.01,66,90,1.12,AU,1609200827
389,ratnagiri,16.98,73.3,71.78,58,0,4.25,IN,1609200876
390,khasan,42.43,130.64,19.24,76,99,15.48,RU,1609200876
391,morros,-9.45,-46.3,78.39,62,54,2.33,BR,1609200876
392,la palma,33.85,-118.05,54.0,81,90,7.96,US,1609200876
393,kieta,-6.22,155.63,83.52,72,83,2.55,PG,1609200876
394,wloclawek,52.65,19.07,39.0,93,94,1.99,PL,1609200876
395,saint-pierre,-21.34,55.48,78.8,54,0,14.99,RE,1609200876
396,hun,29.13,15.95,51.58,45,0,5.03,LY,1609200876
397,vanavara,60.34,102.28,-35.54,82,8,4.83,RU,1609200876
398,iqaluit,63.75,-68.51,5.0,71,75,23.04,CA,1609200854
399,beboto,8.27,16.94,71.91,30,100,5.91,TD,1609200877
400,eshowe,-28.89,31.47,64.44,98,33,4.65,ZA,1609200877
401,ramshir,30.89,49.41,51.8,81,0,7.34,IR,1609200877
402,powell,40.16,-83.08,33.01,93,90,8.05,US,1609200699
403,kodinsk,58.69,99.18,-34.69,80,3,2.15,RU,1609200877
404,deputatskiy,69.3,139.9,-23.48,88,87,2.84,RU,1609200877
405,vestmannaeyjar,63.44,-20.27,28.38,91,1,24.05,IS,1609200877
406,mpulungu,-8.76,31.11,73.2,68,100,0.49,ZM,1609200877
407,nago,26.59,127.98,71.6,83,90,6.93,JP,1609200669
408,burpengary,-27.16,152.96,82.99,48,98,5.93,AU,1609200877
409,amambai,-23.1,-55.23,78.96,66,33,1.99,BR,1609200877
410,san jose,37.34,-121.89,55.99,66,75,9.17,US,1609200852
411,beyneu,45.32,55.2,24.03,88,51,4.29,KZ,1609200877
412,aykhal,66.0,111.5,-14.8,75,75,8.95,RU,1609200877
413,mayo,38.89,-76.51,44.01,86,1,7.43,US,1609200878
414,yerbogachen,61.28,108.01,-21.42,85,89,8.57,RU,1609200878
415,maple grove,45.07,-93.46,19.4,73,20,3.36,US,1609200878
416,guaruja,-23.99,-46.26,75.2,94,9,4.7,BR,1609200878
417,elumalai,9.87,77.7,75.2,83,40,2.64,IN,1609200878
418,layou,13.2,-61.27,80.6,83,20,4.7,VC,1609200878
419,mareeba,-17.0,145.43,87.01,66,90,1.12,AU,1609200878
420,shalinskoye,55.72,93.76,-27.45,82,0,5.26,RU,1609200878
421,wilmington,34.23,-77.94,51.01,82,20,3.89,US,1609200794
422,kaeo,-35.1,173.78,69.71,43,10,7.29,NZ,1609200878
423,kichera,55.94,110.1,-15.36,76,97,6.51,RU,1609200878
424,ust-omchug,61.15,149.63,-31.95,80,98,5.35,RU,1609200878
425,zhangjiakou,40.81,114.88,-6.99,63,20,15.88,CN,1609200878
426,navalmoral de la mata,39.89,-5.54,38.95,89,9,9.22,ES,1609200879
427,pisco,-13.7,-76.22,69.8,83,90,11.41,PE,1609200879
428,khorramabad,33.49,48.36,42.15,73,0,1.95,IR,1609200879
429,almaty,43.25,76.95,15.8,92,90,8.95,KZ,1609200627
430,walvis bay,-22.96,14.51,64.0,88,59,11.41,NA,1609200879
431,grand forks,47.94,-97.43,5.0,84,1,9.17,US,1609200773
432,baykit,61.67,96.37,-30.86,78,2,0.72,RU,1609200879
433,barela,23.1,80.05,50.13,79,0,5.3,IN,1609200879
434,yar-sale,66.83,70.83,-10.7,89,100,13.04,RU,1609200879
435,manchester,53.48,-2.24,36.0,90,90,3.36,GB,1609200879
436,safford,32.83,-109.71,73.4,16,1,21.92,US,1609200879
437,northam,51.03,-4.22,44.01,89,99,7.0,GB,1609200879
438,upington,-28.45,21.26,87.22,25,96,2.35,ZA,1609200879
439,turukhansk,65.82,87.98,-27.06,79,0,7.96,RU,1609200880
440,haines junction,60.75,-137.51,20.55,93,100,2.91,CA,1609200880
441,boddam,57.47,-1.78,35.6,93,79,12.75,GB,1609200880
442,susangerd,31.56,48.18,48.2,76,0,2.24,IR,1609200880
443,venado tuerto,-33.75,-61.97,75.99,84,77,2.66,AR,1609200880
444,bushehr,28.97,50.84,61.32,65,0,6.91,IR,1609200880
445,staryy nadym,65.61,72.68,-10.79,90,100,15.84,RU,1609200880
446,sinjar,36.32,41.88,44.13,58,100,2.33,IQ,1609200880
447,jacqueville,5.21,-4.41,82.4,88,20,5.82,CI,1609200880
448,thessalon,46.25,-83.57,23.0,85,90,4.7,CA,1609200880
449,katherine,-14.47,132.27,80.6,83,40,8.05,AU,1609200880
450,beidao,34.57,105.89,26.11,71,100,12.57,CN,1609200881
451,karachi,24.91,67.08,48.2,36,0,9.48,PK,1609200690
452,roald,62.58,6.13,41.0,56,96,10.29,NO,1609200881
453,san quintin,30.48,-115.95,59.52,59,30,13.27,MX,1609200881
454,saint-francois,46.42,3.91,42.8,70,75,13.87,FR,1609200881
455,conceicao da barra,-18.59,-39.73,75.67,80,0,6.49,BR,1609200636
456,urdoma,61.75,48.54,-10.39,90,17,2.44,RU,1609200881
457,lugovoy,42.95,72.76,15.35,89,6,2.75,KZ,1609200881
458,erzincan,39.75,39.5,21.2,79,100,1.12,TR,1609200869
459,namibe,-15.2,12.15,71.17,80,100,3.96,AO,1609200881
460,la libertad,-2.23,-80.9,75.2,83,0,11.41,EC,1609200732
461,carnarvon,-24.87,113.63,78.8,88,38,2.24,AU,1609200842
462,souillac,-20.52,57.52,77.0,78,75,8.05,MU,1609200881
463,tomatlan,19.93,-105.25,73.24,69,0,3.51,MX,1609200881
464,ormara,25.21,64.64,62.92,29,0,12.59,PK,1609200881
465,goias,-15.58,-49.64,72.1,85,95,2.28,BR,1609200882
466,jumla,29.27,82.18,30.61,47,1,4.97,NP,1609200882
467,ardmore,34.17,-97.14,55.4,43,40,9.17,US,1609200882
468,rundu,-17.93,19.77,71.65,74,92,5.19,NA,1609200882
469,krasnoselkup,65.7,82.47,-23.75,81,100,18.54,RU,1609200882
470,bac lieu,9.29,105.72,75.76,88,95,2.77,VN,1609200882
471,zwedru,6.07,-8.13,72.97,89,4,2.71,LR,1609200882
472,skeldon,5.88,-57.13,76.01,92,67,6.89,GY,1609200882
473,esperance,-33.87,121.9,60.8,63,100,17.22,AU,1609200882
474,aksarayskiy,46.79,48.01,24.8,85,90,13.42,RU,1609200882
475,ostrovnoy,68.05,39.51,19.45,93,100,18.1,RU,1609200883
476,goderich,43.75,-81.72,32.0,90,100,20.8,CA,1609200883
477,mogadishu,2.04,45.34,78.8,85,6,15.82,SO,1609200883
478,bauchi,10.5,10.0,66.6,26,3,4.88,NG,1609200883
479,camana,-16.62,-72.71,72.37,76,100,7.76,PE,1609200883
480,ornskoldsvik,63.29,18.72,32.0,96,100,12.75,SE,1609200883
481,west wendover,40.74,-114.07,32.0,79,90,4.7,US,1609200883
482,guane,22.2,-84.09,68.7,84,27,5.66,CU,1609200883
483,epernay,49.05,3.95,37.4,100,90,4.7,FR,1609200883
484,isangel,-19.55,169.27,82.4,83,75,8.05,VU,1609200883
485,harda,22.33,77.1,49.93,47,0,8.05,IN,1609200883
486,prince rupert,54.32,-130.32,41.0,80,1,2.24,CA,1609200883
487,lukovetskiy,64.3,41.92,-0.4,84,75,4.47,RU,1609200883
488,dembi dolo,8.53,34.8,63.23,53,2,3.44,ET,1609200883
489,westerland,54.91,8.3,37.4,93,95,8.05,DE,1609200884
490,santiago,-33.46,-70.65,77.0,44,0,19.46,CL,1609200621
491,bathsheba,13.22,-59.52,77.0,88,40,5.82,BB,1609200884
492,salinas,36.68,-121.66,57.2,54,1,10.29,US,1609200884
493,ayagoz,47.97,80.44,-3.69,78,0,4.63,KZ,1609200884
494,vallenar,-28.57,-70.76,67.26,49,0,3.38,CL,1609200884
495,ciudad bolivar,8.12,-63.55,81.93,67,50,10.2,VE,1609200884
496,sao filipe,14.9,-24.5,76.53,72,91,10.63,CV,1609200884
497,manaure,11.78,-72.44,79.75,71,70,16.87,CO,1609200884
498,nhulunbuy,-12.23,136.77,78.8,94,75,8.05,AU,1609200884
499,rosario do sul,-30.26,-54.91,75.0,76,59,9.48,BR,1609200884
500,santo tomas,14.11,121.14,81.0,83,40,1.12,PH,1609200884
501,inuvik,68.35,-133.72,-5.8,83,96,1.12,CA,1609200884
502,celestun,20.87,-90.4,72.77,73,29,14.45,MX,1609200885
503,allapalli,19.42,80.07,57.54,70,0,1.63,IN,1609200885
504,shahrud,36.42,54.98,31.73,76,0,0.81,IR,1609200881
505,coroico,-16.19,-67.73,78.8,78,75,6.93,BO,1609200885
506,manta,-0.95,-80.73,80.6,69,40,11.41,EC,1609200885
507,breytovo,58.3,37.86,7.54,95,31,8.88,RU,1609200885
508,toora-khem,52.47,96.11,-32.39,79,3,1.97,RU,1609200885
509,khilok,51.37,110.47,-20.15,83,99,6.04,RU,1609200885
510,oyo,7.85,3.93,74.1,74,55,2.89,NG,1609200885
511,taoudenni,22.68,-3.98,69.96,23,100,9.73,ML,1609200885
512,barberino di mugello,44.0,11.24,48.2,76,40,3.36,IT,1609200885
513,batagay-alyta,67.8,130.41,-5.69,87,100,6.26,RU,1609200885
514,kaseda,31.42,130.32,44.6,87,75,3.36,JP,1609200886
515,zhezkazgan,47.8,67.71,0.73,91,76,4.41,KZ,1609200886
516,pinotepa nacional,16.32,-98.02,75.63,75,9,3.53,MX,1609200886
517,lere,10.39,8.57,63.9,31,16,4.25,NG,1609200886
518,roma,43.21,-75.46,37.4,64,90,13.87,US,1609200759
519,umm lajj,25.02,37.27,74.26,53,1,7.92,SA,1609200766
520,plettenberg bay,-34.05,23.37,67.26,90,12,6.46,ZA,1609200821
521,peto,20.13,-88.92,70.77,72,71,4.99,MX,1609200886
522,verkhoshizhemye,58.01,49.1,-9.26,91,4,2.64,RU,1609200886
523,maromitsa,59.87,48.01,-10.57,91,13,3.15,RU,1609200886
524,mahmudabad,27.3,81.12,51.8,87,20,3.36,IN,1609200886
525,maldonado,-34.67,-54.92,73.4,73,0,16.11,UY,1609200746
526,mumford,5.26,-0.76,80.17,83,19,9.17,GH,1609200886
527,gataia,45.43,21.43,54.0,53,0,33.33,RO,1609200887
528,san carlos de bariloche,-41.15,-71.31,68.0,34,75,21.92,AR,1609200628
529,may pen,17.96,-77.25,82.4,74,40,13.87,JM,1609200887
530,vaijapur,19.92,74.73,59.63,58,2,4.7,IN,1609200887
531,alofi,-19.06,-169.92,80.6,83,75,5.82,NU,1609200887
532,sibolga,1.74,98.78,76.37,78,100,1.43,ID,1609200850
533,margate,51.38,1.39,39.0,87,100,5.01,GB,1609200887
534,abbeville,50.1,1.83,36.0,79,79,3.94,FR,1609200620
535,itoman,26.12,127.67,71.6,78,75,5.82,JP,1609200887
536,wuhu,31.34,118.38,50.0,100,99,4.47,CN,1609200887
537,cabo rojo,18.09,-67.15,77.0,84,100,1.99,PR,1609200887
538,naze,28.37,129.48,69.8,68,75,16.11,JP,1609200887
539,iralaya,15.0,-83.23,76.12,81,89,13.94,HN,1609200887
540,eureka,40.8,-124.16,53.01,71,0,4.5,US,1609200887
541,hovd,48.01,91.64,-12.23,85,0,0.85,MN,1609200887
542,kavieng,-2.57,150.8,85.87,62,100,8.99,PG,1609200888
543,tank,32.22,70.38,44.87,55,0,3.51,PK,1609200888
544,tucuman,-26.82,-65.22,84.2,66,90,4.7,AR,1609200888
545,formosa,-26.18,-58.18,89.6,62,0,3.36,AR,1609200888
546,camaqua,-30.85,-51.81,69.46,87,43,6.2,BR,1609200888
547,san andres,12.58,-81.7,80.6,83,75,11.41,CO,1609200888
548,dingle,11.0,122.67,79.23,83,29,3.36,PH,1609200888
549,bintulu,3.17,113.03,75.2,100,20,3.36,MY,1609200676
550,coahuayana,18.73,-103.68,77.0,57,5,2.57,MX,1609200855
551,torbay,47.67,-52.73,26.6,86,20,2.24,CA,1609200888
552,bandiagara,14.35,-3.61,72.05,21,0,9.91,ML,1609200888
553,kirakira,-10.45,161.92,81.75,78,100,2.93,SB,1609200888
554,half moon bay,37.46,-122.43,55.4,58,20,11.41,US,1609200888
555,jalu,29.03,21.55,52.95,54,0,7.99,LY,1609200889
556,the valley,18.22,-63.06,78.8,78,20,3.36,AI,1609200868
557,el alto,-4.27,-81.21,77.0,65,0,19.46,PE,1609200889
558,ravar,31.27,56.81,42.76,55,98,1.36,IR,1609200889
559,nagapattinam,10.77,79.83,76.41,86,83,12.41,IN,1609200889
560,iquique,-20.22,-70.14,73.4,53,0,16.11,CL,1609200811
561,hasanabad,36.55,61.05,32.09,89,0,5.95,IR,1609200889
562,pangnirtung,66.15,-65.71,8.6,71,90,2.24,CA,1609200870
563,flinders,-34.58,150.86,66.0,89,100,3.0,AU,1609200889
564,strezhevoy,60.73,77.59,-5.8,76,90,15.66,RU,1609200889
565,mwaya,-9.55,33.95,75.65,72,100,2.98,TZ,1609200889
566,amapa,1.0,-52.0,73.45,97,100,2.39,BR,1609200890
567,dunedin,-45.87,170.5,61.27,64,0,14.72,NZ,1609200763
568,mudanya,40.38,28.88,55.4,75,0,9.17,TR,1609200617
569,gao,16.64,1.64,64.71,24,9,8.37,ML,1609200890
570,stavern,59.0,10.03,37.99,100,100,5.82,NO,1609200812
571,galle,6.04,80.22,75.85,87,68,2.64,LK,1609200890
572,seydi,39.48,62.91,30.58,88,0,6.11,TM,1609200890
573,raudeberg,61.99,5.14,43.0,60,98,9.35,NO,1609200890
574,iskilip,40.74,34.47,40.98,69,82,5.01,TR,1609200890
575,razboieni,47.08,26.53,39.0,84,64,4.0,RO,1609200890
576,chitipa,-9.7,33.27,65.01,91,100,1.57,MW,1609200890
577,buin,-33.73,-70.75,77.0,44,0,19.46,CL,1609200890
578,san policarpo,12.18,125.51,82.54,75,81,4.5,PH,1609200891
579,correntina,-13.34,-44.64,71.65,64,42,3.22,BR,1609200891
580,miri,4.41,114.01,77.0,94,40,5.82,MY,1609200891
581,bajil,15.06,43.29,73.18,74,0,1.66,YE,1609200891
582,orlik,52.52,99.83,-34.11,66,0,1.74,RU,1609200891
583,touros,-5.2,-35.46,77.0,78,20,6.93,BR,1609200891
